Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8354;С 11 300х400;300;400;53;295;3,64;0,70
117-8355;С 11 300х500;300;500;53;369;4,42;0,88
117-8356;С 11 300х600;300;600;53;443;5,20;1,06
117-8357;С 11 300х700;300;700;53;517;5,98;1,23
117-8358;С 11 300х800;300;800;53;590;6,76;1,41
117-8359;С 11 300х900;300;900;53;664;7,54;1,58
117-8360;С 11 300х1000;300;1000;53;738;8,32;1,76
117-8361;С 11 300х1100;300;1100;53;812;9,10;1,94
117-8362;С 11 300х1200;300;1200;53;886;9,88;2,11
117-8363;С 11 300х1300;300;1300;53;959;10,66;2,29
117-8364;С 11 300х1400;300;1400;53;1033;11,43;2,46
117-8365;С 11 300х1500;300;1500;53;1107;12,21;2,64
117-8366;С 11 300х1600;300;1600;53;1181;12,99;2,82
117-8367;С 11 300х1700;300;1700;53;1255;13,82;2,99
117-8368;С 11 300х1800;300;1800;53;1328;14,60;3,17
117-8369;С 11 300х1900;300;1900;53;1402;15,38;3,34
117-8370;С 11 300х2000;300;2000;53;1476;16,16;3,52
117-8371;С 11 300х2100;300;2100;53;1550;16,94;3,70
117-8372;С 11 300х2200;300;2200;53;1624;17,72;3,87
117-8373;С 11 300х2300;300;2300;53;1697;18,50;4,05
117-8374;С 11 300х2400;300;2400;53;1771;19,28;4,22
117-8375;С 11 300х2500;300;2500;53;1845;20,06;4,40
117-8376;С 11 300х2600;300;2600;53;1919;20,84;4,58
117-8377;С 11 300х2700;300;2700;53;1993;21,62;4,75
117-8378;С 11 300х2800;300;2800;53;2066;22,40;4,93
117-8379;С 11 300х2900;300;2900;53;2140;23,18;5,10
117-8380;С 11 300х3000;300;3000;53;2214;23,96;5,28
117-8381;C 11 400Х400;400;400;53;388;4,72;0,87
117-8382;C 11 400Х500;400;500;53;485;5,78;1,09
117-8383;C 11 400Х600;400;600;53;582;6,84;1,30
117-8384;C 11 400Х700;400;700;53;679;7,89;1,52
117-8385;C 11 400Х800;400;800;53;776;8,95;1,74
117-8386;C 11 400Х900;400;900;53;873;10,00;1,95
117-8387;C 11 400Х1000;400;1000;53;970;11,06;2,17
117-8388;C 11 400Х1100;400;1100;53;1067;12,12;2,39
117-8389;C 11 400Х1200;400;1200;53;1164;13,17;2,60
117-8390;C 11 400Х1300;400;1300;53;1261;14,23;2,82
117-8391;C 11 400Х1400;400;1400;53;1358;15,28;3,04
117-8392;C 11 400Х1500;400;1500;53;1455;16,34;3,26
117-8393;C 11 400Х1600;400;1600;53;1552;17,40;3,47
117-8394;C 11 400Х1700;400;1700;53;1649;18,50;3,69
117-8395;C 11 400Х1800;400;1800;53;1746;19,56;3,91
117-8396;C 11 400Х1900;400;1900;53;1843;20,61;4,12
117-8397;C 11 400Х2000;400;2000;53;1940;21,67;4,34
117-8398;C 11 400Х2100;400;2100;53;2037;22,73;4,56
117-8399;C 11 400Х2200;400;2200;53;2134;23,78;4,77
117-8400;C 11 400Х2300;400;2300;53;2231;24,84;4,99
117-8401;C 11 400Х2400;400;2400;53;2328;25,89;5,21
117-8402;C 11 400Х2500;400;2500;53;2425;26,95;5,43
117-8403;C 11 400Х2600;400;2600;53;2522;28,01;5,64
117-8404;C 11 400Х2700;400;2700;53;2619;29,06;5,86
117-8405;C 11 400Х2800;400;2800;53;2716;30,12;6,08
117-8406;C 11 400Х2900;400;2900;53;2813;31,17;6,29
117-8407;C 11 400Х3000;400;3000;53;2910;32,23;6,51
117-8408;C 11 500Х400;500;400;53;477;5,81;1,06
117-8409;C 11 500Х500;500;500;53;596;7,14;1,33
117-8410;C 11 500Х600;500;600;53;715;8,47;1,59
117-8411;C 11 500Х700;500;700;53;834;9,81;1,86
117-8412;C 11 500Х800;500;800;53;954;11,14;2,12
117-8413;C 11 500Х900;500;900;53;1073;12,47;2,39
117-8414;C 11 500Х1000;500;1000;53;1192;13,80;2,65
117-8415;C 11 500Х1100;500;1100;53;1311;15,13;2,92
117-8416;C 11 500Х1200;500;1200;53;1430;16,47;3,18
117-8417;C 11 500Х1300;500;1300;53;1550;17,80;3,45
117-8418;C 11 500Х1400;500;1400;53;1669;19,13;3,71
117-8419;C 11 500Х1500;500;1500;53;1788;20,47;3,98
117-8420;C 11 500Х1600;500;1600;53;1907;21,80;4,24
117-8421;C 11 500Х1700;500;1700;53;2026;23,18;4,51
117-8422;C 11 500Х1800;500;1800;53;2146;24,51;4,77
117-8423;C 11 500Х1900;500;1900;53;2265;25,84;5,04
117-8424;C 11 500Х2000;500;2000;53;2384;27,18;5,30
117-8425;C 11 500Х2100;500;2100;53;2503;28,51;5,57
117-8426;C 11 500Х2200;500;2200;53;2622;29,84;5,83
117-8427;C 11 500Х2300;500;2300;53;2742;31,17;6,10
117-8428;C 11 500Х2400;500;2400;53;2861;32,51;6,36
117-8429;C 11 500Х2500;500;2500;53;2980;33,84;6,63
117-8430;C 11 500Х2600;500;2600;53;3099;35,17;6,89
117-8431;C 11 500Х2700;500;2700;53;3218;36,50;7,16
117-8432;C 11 500Х2800;500;2800;53;3337;37,84;7,42
117-8433;C 11 500Х2900;500;2900;53;3457;39,17;7,69
117-8434;C 11 500Х3000;500;3000;53;3576;40,50;7,95
117-8435;C 11 600Х400;600;400;53;565;6,89;1,22
117-8436;C 11 600Х500;600;500;53;706;8,50;1,53
117-8437;C 11 600Х600;600;600;53;848;10,11;1,83
117-8438;C 11 600Х700;600;700;53;989;11,72;2,14
117-8439;C 11 600Х800;600;800;53;1130;13,33;2,44
117-8440;C 11 600Х900;600;900;53;1271;14,94;2,75
117-8441;C 11 600Х1000;600;1000;53;1413;16,55;3,05
117-8442;C 11 600Х1100;600;1100;53;1554;18,15;3,36
117-8443;C 11 600Х1200;600;1200;53;1695;19,76;3,66
117-8444;C 11 600Х1300;600;1300;53;1836;21,37;3,97
117-8445;C 11 600Х1400;600;1400;53;1978;22,98;4,27
117-8446;C 11 600Х1500;600;1500;53;2119;24,59;4,58
117-8447;C 11 600Х1600;600;1600;53;2260;26,20;4,88
117-8448;C 11 600Х1700;600;1700;53;2402;27,86;5,19
117-8449;C 11 600Х1800;600;1800;53;2543;29,47;5,49
117-8450;C 11 600Х1900;600;1900;53;2684;31,07;5,80
117-8451;C 11 600Х2000;600;2000;53;2825;32,68;6,10
117-8452;C 11 600Х2100;600;2100;53;2967;34,29;6,41
117-8453;C 11 600Х2200;600;2200;53;3108;35,90;6,71
117-8454;C 11 600Х2300;600;2300;53;3249;37,51;7,02
117-8455;C 11 600Х2400;600;2400;53;3390;39,12;7,32
117-8456;C 11 600Х2500;600;2500;53;3532;40,73;7,63
117-8457;C 11 600Х2600;600;2600;53;3673;42,33;7,93
117-8458;C 11 600Х2700;600;2700;53;3814;43,94;8,24
117-8459;C 11 600Х2800;600;2800;53;3956;45,55;8,54
117-8460;C 11 600Х2900;600;2900;53;4097;47,16;8,85
117-8461;C 11 600Х3000;600;3000;53;4238;48,77;9,15
117-8462;C 11 900Х400;900;400;53;790;10,15;1,82
117-8463;C 11 900Х500;900;500;53;987;12,59;2,28
117-8464;C 11 900Х600;900;600;53;1185;15,02;2,73
117-8465;C 11 900Х700;900;700;53;1382;17,46;3,19
117-8466;C 11 900Х800;900;800;53;1580;19,90;3,64
117-8467;C 11 900Х900;900;900;53;1777;22,34;4,10
117-8468;C 11 900Х1000;900;1000;53;1975;24,78;4,55
117-8469;C 11 900Х1100;900;1100;53;2172;27,21;5,01
117-8470;C 11 900Х1200;900;1200;53;2370;29,65;5,46
117-8471;C 11 900Х1300;900;1300;53;2567;32,09;5,92
117-8472;C 11 900Х1400;900;1400;53;2764;34,53;6,37
117-8473;C 11 900Х1500;900;1500;53;2962;36,96;6,83
117-8474;C 11 900Х1600;900;1600;53;3159;39,40;7,28
117-8475;C 11 900Х1700;900;1700;53;3357;41,89;7,74
117-8476;C 11 900Х1800;900;1800;53;3554;44,33;8,19
117-8477;C 11 900Х1900;900;1900;53;3752;46,76;8,65
117-8478;C 11 900Х2000;900;2000;53;3949;49,20;9,10
117-8479;C 11 900Х2100;900;2100;53;4147;51,64;9,56
117-8480;C 11 900Х2200;900;2200;53;4344;54,08;10,01
117-8481;C 11 900Х2300;900;2300;53;4542;56,52;10,47
117-8482;C 11 900Х2400;900;2400;53;4739;58,95;10,92
117-8483;C 11 900Х2500;900;2500;53;4936;61,39;11,38
117-8484;C 11 900Х2600;900;2600;53;5134;63,83;11,83
117-8485;C 11 900Х2700;900;2700;53;5331;66,27;12,29
117-8486;C 11 900Х2800;900;2800;53;5529;68,70;12,74
117-8487;C 11 900Х2900;900;2900;53;5726;71,14;13,20
117-8488;C 11 900Х3000;900;3000;53;5924;73,58;13,65
