Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8894;C 33 300Х400;300;400;160;779;10,02;2,08
117-8895;C 33 300Х500;300;500;160;974;12,25;2,60
117-8896;C 33 300Х600;300;600;160;1168;14,48;3,12
117-8897;C 33 300Х700;300;700;160;1363;16,71;3,64
117-8898;C 33 300Х800;300;800;160;1558;18,95;4,16
117-8899;C 33 300Х900;300;900;160;1753;21,31;4,68
117-8900;C 33 300Х1000;300;1000;160;1947;23,55;5,20
117-8901;C 33 300Х1100;300;1100;160;2142;25,78;5,72
117-8902;C 33 300Х1200;300;1200;160;2337;28,01;6,24
117-8903;C 33 300Х1300;300;1300;160;2532;30,24;6,76
117-8904;C 33 300Х1400;300;1400;160;2726;32,61;7,28
117-8905;C 33 300Х1500;300;1500;160;2921;34,84;7,80
117-8906;C 33 300Х1600;300;1600;160;3116;37,07;8,32
117-8907;C 33 300Х1700;300;1700;160;3311;39,35;8,84
117-8908;C 33 300Х1800;300;1800;160;3505;41,58;9,36
117-8909;C 33 300Х1900;300;1900;160;3700;43,95;9,88
117-8910;C 33 300Х2000;300;2000;160;3895;46,18;10,40
117-8911;C 33 300Х2100;300;2100;160;4090;48,42;10,92
117-8912;C 33 300Х2200;300;2200;160;4284;50,65;11,44
117-8913;C 33 300Х2300;300;2300;160;4479;52,88;11,96
117-8914;C 33 300Х2400;300;2400;160;4674;55,25;12,48
117-8915;C 33 300Х2500;300;2500;160;4869;57,48;13,00
117-8916;C 33 300Х2600;300;2600;160;5063;59,71;13,52
117-8917;C 33 300Х2700;300;2700;160;5258;61,94;14,04
117-8918;C 33 300Х2800;300;2800;160;5453;64,17;14,56
117-8919;C 33 300Х2900;300;2900;160;5648;66,41;15,08
117-8920;C 33 300Х3000;300;3000;160;5842;68,64;15,60
117-8921;C 33 400Х400;400;400;160;994;13,10;2,59
117-8922;C 33 400Х500;400;500;160;1243;16,12;3,24
117-8923;C 33 400Х600;400;600;160;1491;19,13;3,89
117-8924;C 33 400Х700;400;700;160;1740;22,15;4,54
117-8925;C 33 400Х800;400;800;160;1988;25,16;5,18
117-8926;C 33 400Х900;400;900;160;2237;28,31;5,83
117-8927;C 33 400Х1000;400;1000;160;2486;31,33;6,48
117-8928;C 33 400Х1100;400;1100;160;2734;34,34;7,13
117-8929;C 33 400Х1200;400;1200;160;2983;37,36;7,78
117-8930;C 33 400Х1300;400;1300;160;3231;40,37;8,42
117-8931;C 33 400Х1400;400;1400;160;3480;43,52;9,07
117-8932;C 33 400Х1500;400;1500;160;3728;46,53;9,72
117-8933;C 33 400Х1600;400;1600;160;3977;49,55;10,37
117-8934;C 33 400Х1700;400;1700;160;4225;52,61;11,02
117-8935;C 33 400Х1800;400;1800;160;4474;55,63;11,66
117-8936;C 33 400Х1900;400;1900;160;4723;58,78;12,31
117-8937;C 33 400Х2000;400;2000;160;4971;61,79;12,96
117-8938;C 33 400Х2100;400;2100;160;5220;64,81;13,61
