Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8219;HC 10 300Х400;300;400;49;207;3,18;0,70
117-8220;HC 10 300Х500;300;500;49;259;3,83;0,88
117-8221;HC 10 300Х600;300;600;49;311;4,49;1,06
117-8222;HC 10 300Х700;300;700;49;363;5,14;1,23
117-8223;HC 10 300Х800;300;800;49;415;5,79;1,41
117-8224;HC 10 300Х900;300;900;49;467;6,45;1,58
117-8225;HC 10 300Х1000;300;1000;49;519;7,10;1,76
117-8226;HC 10 300Х1100;300;1100;49;570;7,75;1,94
117-8227;HC 10 300Х1200;300;1200;49;622;8,41;2,11
117-8228;HC 10 300Х1300;300;1300;49;674;9,06;2,29
117-8229;HC 10 300Х1400;300;1400;49;726;9,72;2,46
117-8230;HC 10 300Х1500;300;1500;49;778;10,37;2,64
117-8231;HC 10 300Х1600;300;1600;49;830;11,02;2,82
117-8232;HC 10 300Х1700;300;1700;49;882;11,73;2,99
117-8233;HC 10 300Х1800;300;1800;49;933;12,38;3,17
117-8234;HC 10 300Х1900;300;1900;49;985;13,03;3,34
117-8235;HC 10 300Х2000;300;2000;49;1037;13,69;3,52
117-8236;HC 10 300Х2100;300;2100;49;1089;14,34;3,70
117-8237;HC 10 300Х2200;300;2200;49;1141;15,00;3,87
117-8238;HC 10 300Х2300;300;2300;49;1193;15,65;4,05
117-8239;HC 10 300Х2400;300;2400;49;1245;16,30;4,22
117-8240;HC 10 300Х2500;300;2500;49;1296;16,96;4,40
117-8241;HC 10 300Х2600;300;2600;49;1348;17,61;4,58
117-8242;HC 10 300Х2700;300;2700;49;1400;18,26;4,75
117-8243;HC 10 300Х2800;300;2800;49;1452;18,92;4,93
117-8244;HC 10 300Х2900;300;2900;49;1504;19,57;5,10
117-8245;HC 10 300Х3000;300;3000;49;1556;20,23;5,28
117-8246;HC 10 400Х400;400;400;49;271;4,04;0,87
117-8247;HC 10 400Х500;400;500;49;339;4,91;1,09
117-8248;HC 10 400Х600;400;600;49;407;5,78;1,30
117-8249;HC 10 400Х700;400;700;49;475;6,65;1,52
117-8250;HC 10 400Х800;400;800;49;542;7,51;1,74
117-8251;HC 10 400Х900;400;900;49;610;8,38;1,95
