Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9017;HVC 10 300Х400;300;400;49;207;3,49;0,70
117-9018;HVC 10 300Х500;300;500;49;259;4,14;0,88
117-9019;HVC 10 300Х600;300;600;49;311;4,80;1,06
117-9020;HVC 10 300Х700;300;700;49;363;5,45;1,23
117-9021;HVC 10 300Х800;300;800;49;415;6,10;1,41
117-9022;HVC 10 300Х900;300;900;49;467;6,76;1,58
117-9023;HVC 10 300Х1000;300;1000;49;519;7,41;1,76
117-9024;HVC 10 300Х1100;300;1100;49;570;8,06;1,94
117-9025;HVC 10 300Х1200;300;1200;49;622;8,72;2,11
117-9026;HVC 10 300Х1300;300;1300;49;674;9,37;2,29
117-9027;HVC 10 300Х1400;300;1400;49;726;10,03;2,46
117-9028;HVC 10 300Х1500;300;1500;49;778;10,68;2,64
117-9029;HVC 10 300Х1600;300;1600;49;830;11,33;2,82
117-9030;HVC 10 300Х1700;300;1700;49;882;12,04;2,99
117-9031;HVC 10 300Х1800;300;1800;49;933;12,69;3,17
117-9032;HVC 10 300Х1900;300;1900;49;985;13,34;3,34
117-9033;HVC 10 300Х2000;300;2000;49;1037;14,00;3,52
117-9034;HVC 10 300Х2100;300;2100;49;1089;14,65;3,70
117-9035;HVC 10 300Х2200;300;2200;49;1141;15,31;3,87
117-9036;HVC 10 300Х2300;300;2300;49;1193;15,96;4,05
117-9037;HVC 10 300Х2400;300;2400;49;1245;16,61;4,22
117-9038;HVC 10 300Х2500;300;2500;49;1296;17,27;4,40
117-9039;HVC 10 300Х2600;300;2600;49;1348;17,92;4,58
117-9040;HVC 10 300Х2700;300;2700;49;1400;18,57;4,75
117-9041;HVC 10 300Х2800;300;2800;49;1452;19,23;4,93
117-9042;HVC 10 300Х2900;300;2900;49;1504;19,88;5,10
117-9043;HVC 10 300Х3000;300;3000;49;1556;20,54;5,28
117-9044;HVC 10 400Х400;400;400;49;271;4,37;0,87
117-9045;HVC 10 400Х500;400;500;49;339;5,24;1,09
117-9046;HVC 10 400Х600;400;600;49;407;6,10;1,30
117-9047;HVC 10 400Х700;400;700;49;475;6,97;1,52
117-9048;HVC 10 400Х800;400;800;49;542;7,84;1,74
117-9049;HVC 10 400Х900;400;900;49;610;8,71;1,95
117-9050;HVC 10 400Х1000;400;1000;49;678;9,58;2,17
117-9051;HVC 10 400Х1100;400;1100;49;746;10,45;2,39
117-9052;HVC 10 400Х1200;400;1200;49;814;11,32;2,60
117-9053;HVC 10 400Х1300;400;1300;49;881;12,19;2,82
117-9054;HVC 10 400Х1400;400;1400;49;949;13,06;3,04
117-9055;HVC 10 400Х1500;400;1500;49;1017;13,92;3,26
117-9056;HVC 10 400Х1600;400;1600;49;1085;14,79;3,47
117-9057;HVC 10 400Х1700;400;1700;49;1153;15,71;3,69
117-9058;HVC 10 400Х1800;400;1800;49;1220;16,58;3,91
117-9059;HVC 10 400Х1900;400;1900;49;1288;17,45;4,12
117-9060;HVC 10 400Х2000;400;2000;49;1356;18,32;4,34
117-9061;HVC 10 400Х2100;400;2100;49;1424;19,19;4,56
117-9062;HVC 10 400Х2200;400;2200;49;1492;20,06;4,77
117-9063;HVC 10 400Х2300;400;2300;49;1559;20,92;4,99
117-9064;HVC 10 400Х2400;400;2400;49;1627;21,79;5,21
117-9065;HVC 10 400Х2500;400;2500;49;1695;22,66;5,43
117-9066;HVC 10 400Х2600;400;2600;49;1763;23,53;5,64
117-9067;HVC 10 400Х2700;400;2700;49;1831;24,40;5,86
117-9068;HVC 10 400Х2800;400;2800;49;1898;25,27;6,08
117-9069;HVC 10 400Х2900;400;2900;49;1966;26,14;6,29
117-9070;HVC 10 400Х3000;400;3000;49;2034;27,01;6,51
117-9071;HVC 10 500Х400;500;400;49;333;5,25;1,06
