Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9692;VC 33 300Х400;300;400;160;779;10,35;2,08
117-9693;VC 33 300Х500;300;500;160;974;12,58;2,60
117-9694;VC 33 300Х600;300;600;160;1168;14,81;3,12
117-9695;VC 33 300Х700;300;700;160;1363;17,04;3,64
117-9696;VC 33 300Х800;300;800;160;1558;19,28;4,16
117-9697;VC 33 300Х900;300;900;160;1753;21,64;4,68
117-9698;VC 33 300Х1000;300;1000;160;1947;23,87;5,20
117-9699;VC 33 300Х1100;300;1100;160;2142;26,10;5,72
117-9700;VC 33 300Х1200;300;1200;160;2337;28,34;6,24
117-9701;VC 33 300Х1300;300;1300;160;2532;30,57;6,76
117-9702;VC 33 300Х1400;300;1400;160;2726;32,94;7,28
117-9703;VC 33 300Х1500;300;1500;160;2921;35,17;7,80
117-9704;VC 33 300Х1600;300;1600;160;3116;37,40;8,32
117-9705;VC 33 300Х1700;300;1700;160;3311;39,68;8,84
117-9706;VC 33 300Х1800;300;1800;160;3505;41,91;9,36
117-9707;VC 33 300Х1900;300;1900;160;3700;44,28;9,88
117-9708;VC 33 300Х2000;300;2000;160;3895;46,51;10,40
117-9709;VC 33 300Х2100;300;2100;160;4090;48,74;10,92
117-9710;VC 33 300Х2200;300;2200;160;4284;50,97;11,44
117-9711;VC 33 300Х2300;300;2300;160;4479;53,21;11,96
117-9712;VC 33 300Х2400;300;2400;160;4674;55,57;12,48
117-9713;VC 33 300Х2500;300;2500;160;4869;57,81;13,00
117-9714;VC 33 300Х2600;300;2600;160;5063;60,04;13,52
117-9715;VC 33 300Х2700;300;2700;160;5258;62,27;14,04
117-9716;VC 33 300Х2800;300;2800;160;5453;64,50;14,56
117-9717;VC 33 300Х2900;300;2900;160;5648;66,73;15,08
117-9718;VC 33 300Х3000;300;3000;160;5842;68,97;15,60
117-9719;VC 33 400Х400;400;400;160;994;13,45;2,59
117-9720;VC 33 400Х500;400;500;160;1243;16,46;3,24
117-9721;VC 33 400Х600;400;600;160;1491;19,48;3,89
117-9722;VC 33 400Х700;400;700;160;1740;22,49;4,54
117-9723;VC 33 400Х800;400;800;160;1988;25,51;5,18
117-9724;VC 33 400Х900;400;900;160;2237;28,66;5,83
117-9725;VC 33 400Х1000;400;1000;160;2486;31,67;6,48
117-9726;VC 33 400Х1100;400;1100;160;2734;34,69;7,13
117-9727;VC 33 400Х1200;400;1200;160;2983;37,70;7,78
117-9728;VC 33 400Х1300;400;1300;160;3231;40,72;8,42
117-9729;VC 33 400Х1400;400;1400;160;3480;43,87;9,07
117-9730;VC 33 400Х1500;400;1500;160;3728;46,88;9,72
117-9731;VC 33 400Х1600;400;1600;160;3977;49,90;10,37
117-9732;VC 33 400Х1700;400;1700;160;4225;52,96;11,02
117-9733;VC 33 400Х1800;400;1800;160;4474;55,98;11,66
117-9734;VC 33 400Х1900;400;1900;160;4723;59,12;12,31
117-9735;VC 33 400Х2000;400;2000;160;4971;62,14;12,96
117-9736;VC 33 400Х2100;400;2100;160;5220;65,15;13,61
117-9737;VC 33 400Х2200;400;2200;160;5468;68,17;14,26
117-9738;VC 33 400Х2300;400;2300;160;5717;71,18;14,90
117-9739;VC 33 400Х2400;400;2400;160;5965;74,33;15,55
117-9740;VC 33 400Х2500;400;2500;160;6214;77,35;16,20
117-9741;VC 33 400Х2600;400;2600;160;6462;80,36;16,85
117-9742;VC 33 400Х2700;400;2700;160;6711;83,38;17,50
117-9743;VC 33 400Х2800;400;2800;160;6960;86,39;18,14
117-9744;VC 33 400Х2900;400;2900;160;7208;89,41;18,79
117-9745;VC 33 400Х3000;400;3000;160;7457;92,42;19,44
117-9746;VC 33 500Х400;500;400;160;1200;16,55;3,16
117-9747;VC 33 500Х500;500;500;160;1500;20,35;3,95
117-9748;VC 33 500Х600;500;600;160;1801;24,15;4,74
117-9749;VC 33 500Х700;500;700;160;2101;27,94;5,53
117-9750;VC 33 500Х800;500;800;160;2401;31,74;6,32
117-9751;VC 33 500Х900;500;900;160;2701;35,67;7,11
117-9752;VC 33 500Х1000;500;1000;160;3001;39,47;7,90
117-9753;VC 33 500Х1100;500;1100;160;3301;43,27;8,69
117-9754;VC 33 500Х1200;500;1200;160;3601;47,07;9,48
117-9755;VC 33 500Х1300;500;1300;160;3901;50,86;10,27
117-9756;VC 33 500Х1400;500;1400;160;4201;54,80;11,06
117-9757;VC 33 500Х1500;500;1500;160;4501;58,59;11,85
117-9758;VC 33 500Х1600;500;1600;160;4802;62,39;12,64
117-9759;VC 33 500Х1700;500;1700;160;5102;66,24;13,43
117-9760;VC 33 500Х1800;500;1800;160;5402;70,04;14,22
117-9761;VC 33 500Х1900;500;1900;160;5702;73,97;15,01
117-9762;VC 33 500Х2000;500;2000;160;6002;77,77;15,80
117-9763;VC 33 500Х2100;500;2100;160;6302;81,56;16,59
117-9764;VC 33 500Х2200;500;2200;160;6602;85,36;17,38
117-9765;VC 33 500Х2300;500;2300;160;6902;89,16;18,17
117-9766;VC 33 500Х2400;500;2400;160;7202;93,09;18,96
117-9767;VC 33 500Х2500;500;2500;160;7502;96,89;19,75
117-9768;VC 33 500Х2600;500;2600;160;7802;100,69;20,54
117-9769;VC 33 500Х2700;500;2700;160;8103;104,48;21,33
117-9770;VC 33 500Х2800;500;2800;160;8403;108,28;22,12
117-9771;VC 33 500Х2900;500;2900;160;8703;112,08;22,91
117-9772;VC 33 500Х3000;500;3000;160;9003;115,88;23,70
117-9773;VC 33 600Х400;600;400;160;1399;19,66;3,66
117-9774;VC 33 600Х500;600;500;160;1749;24,24;4,58
117-9775;VC 33 600Х600;600;600;160;2099;28,82;5,49
117-9776;VC 33 600Х700;600;700;160;2449;33,40;6,41
117-9777;VC 33 600Х800;600;800;160;2799;37,98;7,32
117-9778;VC 33 600Х900;600;900;160;3148;42,69;8,24
117-9779;VC 33 600Х1000;600;1000;160;3498;47,27;9,15
117-9780;VC 33 600Х1100;600;1100;160;3848;51,85;10,07
117-9781;VC 33 600Х1200;600;1200;160;4198;56,43;10,98
117-9782;VC 33 600Х1300;600;1300;160;4548;61,01;11,90
117-9783;VC 33 600Х1400;600;1400;160;4897;65,73;12,81
117-9784;VC 33 600Х1500;600;1500;160;5247;70,31;13,73
117-9785;VC 33 600Х1600;600;1600;160;5597;74,89;14,64
117-9786;VC 33 600Х1700;600;1700;160;5947;79,52;15,56
117-9787;VC 33 600Х1800;600;1800;160;6297;84,10;16,47
117-9788;VC 33 600Х1900;600;1900;160;6647;88,81;17,39
117-9789;VC 33 600Х2000;600;2000;160;6996;93,39;18,30
117-9790;VC 33 600Х2100;600;2100;160;7346;97,97;19,22
117-9791;VC 33 600Х2200;600;2200;160;7696;102,55;20,13
117-9792;VC 33 600Х2300;600;2300;160;8046;107,14;21,05
117-9793;VC 33 600Х2400;600;2400;160;8396;111,85;21,96
117-9794;VC 33 600Х2500;600;2500;160;8745;116,43;22,88
117-9795;VC 33 600Х2600;600;2600;160;9095;121,01;23,79
117-9796;VC 33 600Х2700;600;2700;160;9445;125,59;24,71
117-9797;VC 33 600Х2800;600;2800;160;9795;130,17;25,62
117-9798;VC 33 600Х2900;600;2900;160;10145;134,75;26,54
117-9799;VC 33 600Х3000;600;3000;160;10495;139,33;27,45
117-9800;VC 33 900Х400;900;400;160;1952;28,96;5,54
117-9801;VC 33 900Х500;900;500;160;2440;35,89;6,93
117-9802;VC 33 900Х600;900;600;160;2928;42,82;8,31
117-9803;VC 33 900Х700;900;700;160;3416;49,75;9,70
117-9804;VC 33 900Х800;900;800;160;3904;56,68;11,08
117-9805;VC 33 900Х900;900;900;160;4392;63,74;12,47
117-9806;VC 33 900Х1000;900;1000;160;4880;70,67;13,85
117-9807;VC 33 900Х1100;900;1100;160;5368;77,60;15,24
117-9808;VC 33 900Х1200;900;1200;160;5856;84,53;16,62
117-9809;VC 33 900Х1300;900;1300;160;6344;91,46;18,01
117-9810;VC 33 900Х1400;900;1400;160;6832;98,52;19,39
117-9811;VC 33 900Х1500;900;1500;160;7320;105,45;20,78
117-9812;VC 33 900Х1600;900;1600;160;7808;112,38;22,16
117-9813;VC 33 900Х1700;900;1700;160;8296;119,36;23,55
117-9814;VC 33 900Х1800;900;1800;160;8784;126,28;24,93
